*051kg*,1,Max Aarons,BOU,D,2500.0
*061vp*,2,Brenden Aaronson,LEE,M,4700.0
*06442*,3,Zach Abbott,NOT,D,2600.0
*06mgd*,192,Abdul Fatawu,IPS,F,4900.0
*07851*,4,Joshua Abe,LIV,F,2500.0
*0410j*,5,Tammy Abraham,AVL,F,2800.0
*06kwp*,6,Josh Acheampong,CHE,D,2600.0
*062h7*,7,Tyler Adams,BOU,M,6500.0
*03yeg*,8,Tosin Adarabioyo,CHE,D,2900.0
*05ymb*,9,Tayo Adaramola,CRY,D,2500.0
*0626q*,10,Simon Adingra,SUN,F,2600.0
*070ci*,11,Amine Adli,BOU,F,3600.0
*0786a*,12,Demiane Agustien,ARS,M,2500.0
*03frx*,13,Ola Aina,NOT,D,9500.0
*05os4*,14,Rayan Ait-Nouri,MCI,D,5000.0
*06q2h*,15,Damola Ajayi,TOT,F,2500.0
*03ksl*,16,Semi Ajayi,HUL,D,3600.0
*05uel*,17,Kristoffer Ajer,BRF,D,4300.0
*06r5r*,18,Matai Akinmboni,BOU,D,2500.0
*076dr*,19,David Akintola,HUL,"M,F",2500.0
*0326x*,20,Chuba Akpom,IPS,F,2500.0
*02lkt*,21,Ali Al-Hamadi,IPS,F,2500.0
*0687c*,22,Carlos Alcaraz,EVE,M,2600.0
*0700t*,23,Omar Alderete,SUN,D,10500.0
*060wh*,214,Alejandro Garnacho,AVL,"M,F",5300.0
*05ogg*,24,Ajibola Alese,SUN,D,2500.0
*04sjt*,517,Alisson Becker,LIV,G,8700.0
*067x6*,25,Max Alleyne,MCI,D,2600.0
*072j3*,692,Alysson Edward,AVL,F,2500.0
*06l2r*,27,Harry Amass,MUN,D,2700.0
*0784i*,28,Aurele Amenda,COV,D,2500.0
*04lav*,29,Ethan Ampadu,LEE,"D,M",7500.0
*05os8*,30,Joachim Andersen,FUL,D,9400.0
*05opj*,31,Elliot Anderson,MCI,M,11900.0
*02lzt*,32,Keith Andrews,COV,M,2500.0
*068a0*,448,Andrey Santos,MUN,M,2700.0
*072zs*,33,Nilson Angulo,SUN,"M,F",5600.0
*06r5m*,34,Aaron Anselmino,CHE,D,2500.0
*061vk*,35,Jaidon Anthony,BRF,"M,F",5000.0
*03rzp*,530,Antonee Robinson,FUL,D,8200.0
*0787y*,496,Antonio Silva,BOU,D,4300.0
*06p4l*,37,Julian Araujo,BOU,D,2500.0
*078i7*,38,Ronald Araujo,LIV,D,4300.0
*06v08*,39,Daniel Armer,MUN,D,2500.0
*06onv*,40,Harrison Armstrong,EVE,M,2500.0
*078fx*,42,Owen Asemota,AVL,G,2500.0
*04gyd*,43,Brandon Austin,TOT,G,2500.0
*078gc*,44,Caelan Avenell,BRF,D,2500.0
*04rzl*,45,Taiwo Awoniyi,NOT,F,2600.0
*068yc*,46,Yasin Ayari,BHA,M,8000.0
*06zef*,47,Adam Aznou,EVE,D,2500.0
*06xzn*,48,Abdoullah Ba,SUN,M,2500.0
*06804*,49,Benoit Badiashile,CHE,D,2600.0
*07853*,50,Juma Bah,MCI,D,2500.0
*05uns*,51,Leon Bailey,AVL,"M,F",2600.0
*062p0*,52,Stefan Bajcetic,LIV,M,2500.0
