"ID","Player","Team","Position","RkOv","Status","Opponent","Salary","FPts","FP/G","%D","ADP","Ros","GP","Min","G","A2","KP","AT","SOP","TLM","Tu","ErS","ErG","YC","SYC","RC","RCR","HB","Pen","Off","SFTP","AC","Int","CLO","CLR","CoSF","BC","BS","TkW+BS","DW","AER","BCC","BCM","BR","FKG","SBON","PKM","PKD","OG","GAO","CS"
"*03aqp*","Mohamed Salah","LIV","F","1","FA","BOU Fri 7:00PM","15,000","389.29","10.24","100","2.1","100%","38","3,368","29","2","89","18","6","0","116","0","0","1","0","0","0","2","0","18","471","17","9","0","5","97","0","0","11","127","9","27","24","101","0","0","0","0","0","40","15"
"*05trb*","Bryan Mbeumo","MUN","F","2","FA","ARS Sun 3:30PM","12,600","326.42","8.59","100","10.8","100%","38","3,412","20","0","70","9","1","0","106","0","1","3","0","0","0","0","0","11","421","49","14","0","51","96","4","3","34","179","35","17","9","156","0","0","1","0","0","55","9"
"*05l8q*","Cole Palmer","CHE","M","3","FA","CRY Sun 1:00PM","11,200","295.58","7.99","100","2.8","100%","37","3,184","15","2","89","10","3","0","71","0","1","7","0","0","0","0","0","7","505","35","11","0","19","111","1","1","21","147","2","24","14","106","1","1","1","1","0","41","10"
"*05gcr*","Bruno Fernandes","MUN","M","4","FA","ARS Sun 3:30PM","11,600","292.78","8.13","100","4.8","100%","36","3,016","8","0","91","12","2","0","43","2","1","3","1","2","0","2","0","2","647","42","26","0","30","68","5","6","56","174","23","16","10","213","2","1","0","0","0","43","10"
"*068y0*","Antoine Semenyo","BOU","F","5","FA","@LIV Fri 7:00PM","10,400","273.29","7.39","100","14.7","99%","37","3,200","11","0","46","7","5","0","84","1","1","9","0","0","0","0","0","15","383","8","11","0","34","106","5","9","44","227","67","11","12","158","0","1","0","1","0","41","11"
"*067yz*","Matheus Cunha","MUN","F","6","FA","ARS Sun 3:30PM","10,900","271.69","8.23","100","9.2","100%","33","2,588","15","1","57","7","1","0","80","0","0","4","0","0","0","2","1","8","301","26","17","0","19","132","4","1","23","183","13","13","2","125","0","4","0","0","0","54","7"
"*05ylj*","Bruno Guimaraes","NEW","M","7","FA","@AVL Sat 11:30AM","10,300","270.06","7.11","100","64.7","99%","38","3,265","5","1","52","6","1","0","56","3","2","7","0","0","0","2","0","2","532","7","29","0","40","142","4","10","57","243","19","12","2","188","0","0","0","0","0","44","13"
"*046c5*","Jarrod Bowen","WHU","F","8","FA","@SUN Sat 2:00PM","10,900","267.46","7.87","100","11.2","100%","34","2,972","13","1","51","11","1","0","70","0","0","1","0","0","0","1","0","10","234","27","16","0","21","95","4","4","30","148","12","11","8","129","0","0","0","0","0","50","8"
"*05u1m*","Nathan Collins","BRF","D","9","FA","@NOT Sun 1:00PM","10,600","264","6.95","100","72.6","98%","38","3,420","2","0","10","7","0","2","20","2","1","5","0","0","0","1","0","6","170","2","34","0","220","37","6","57","81","194","119","4","4","162","0","0","0","2","0","57","8"
"*06jgi*","Daniel Munoz","CRY","D","10","FA","@CHE Sun 1:00PM","10,000","260.58","7.04","100","19.2","100%","37","3,229","4","1","46","6","1","1","54","1","0","10","0","0","0","3","0","15","250","19","44","0","94","40","14","6","86","221","58","7","8","171","0","0","0","0","0","46","11"
"*06ex4*","Josko Gvardiol","MCI","D","11","FA","@WOL Sat 4:30PM","10,000","258.48","6.99","100","57.6","100%","37","3,276","5","0","26","0","1","1","29","7","1","2","0","0","0","1","0","3","717","3","44","1","111","52","11","20","59","164","54","1","8","137","0","1","0","0","0","41","13"
"*063q8*","Mikkel Damsgaard","BRF","M","12","FA","@NOT Sun 1:00PM","9,500","255.16","6.71","100","41.9","98%","38","2,899","2","1","63","11","0","0","63","2","0","2","0","0","0","0","0","6","446","36","27","0","29","77","2","3","47","172","12","15","4","179","0","4","0","0","0","41","11"
"*03rzp*","Antonee Robinson","FUL","D","13","FA","@BHA Sat 2:00PM","10,200","252.57","7.02","100","32.6","100%","36","3,165","0","1","43","10","0","0","44","0","2","8","0","0","0","0","0","7","394","42","62","1","123","58","10","9","70","203","52","6","1","157","0","1","0","0","0","49","5"
"*06do9*","Milos Kerkez","LIV","D","14","FA","BOU Fri 7:00PM","9,400","252.52","6.65","100","51.5","100%","38","3,336","2","1","36","6","0","0","49","3","1","4","0","0","0","0","0","3","345","39","45","1","99","72","7","11","37","152","28","8","0","169","0","0","0","0","0","45","9"
"*05rb8*","Moises Caicedo","CHE","M","15","FA","CRY Sun 1:00PM","9,500","249.64","6.57","62","114.1","76%","38","3,351","1","0","30","4","0","1","37","1","0","11","0","0","0","0","1","0","494","4","49","0","53","87","7","10","83","236","36","5","0","229","0","0","0","2","0","42","12"
"*0646f*","Alexander Isak","NEW","F","16","FA","@AVL Sat 11:30AM","10,300","249.35","7.33","100","6.4","100%","34","2,751","23","0","42","6","3","0","66","1","0","1","0","0","0","3","0","20","256","3","3","0","17","56","0","2","7","94","27","11","18","55","0","0","0","1","0","41","12"
"*03vlj*","Virgil van Dijk","LIV","D","17","FA","BOU Fri 7:00PM","10,400","249.1","6.73","100","40.2","100%","37","3,330","3","0","12","1","0","1","10","3","1","5","0","0","0","0","0","0","395","0","56","0","190","16","0","16","36","173","119","2","3","115","0","0","0","0","0","38","14"
"*068ym*","Enzo Fernandez","CHE","M","18","FA","CRY Sun 1:00PM","9,700","248.79","6.91","100","24.4","100%","36","2,936","6","2","79","8","0","0","29","4","0","8","0","0","0","1","0","2","499","26","13","0","20","80","3","7","40","159","15","13","4","156","0","4","0","0","0","37","10"
"*06fwz*","Murillo","NOT","D","19","FA","BRF Sun 1:00PM","10,000","246.99","6.86","93","88.7","98%","36","3,188","2","0","13","0","1","4","19","2","1","6","0","0","0","0","1","0","216","6","36","3","242","33","7","45","81","130","44","2","2","142","0","0","0","0","0","44","12"
"*04yo7*","Youri Tielemans","AVL","M","20","FA","NEW Sat 11:30AM","9,700","245.19","6.81","100","49.2","100%","36","3,024","3","1","61","7","1","0","31","4","0","4","0","0","0","1","0","0","472","30","23","0","46","87","1","16","74","193","24","16","3","145","0","1","1","0","0","46","7"
