"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","Salary","FPts","FP/G","%D","ADP","Ros","+/-"
"*05gcr*","Bruno Fernandes","MUN","M","M","1","FA","@HUL Sat 11:30AM","15,000","342.56","9.79","100","1.8","100%","0%"
"*05s08*","Valentino Livramento","NEW","D","D","209","FA","LIV Sun 3:30PM","13,500","103.09","6.06","25","266.6","17%","-3%"
"*061vq*","Erling Haaland","MCI","F","F","3","FA","BOU Sun 1:00PM","12,500","283.72","8.11","100","1.5","100%","0%"
"*05opj*","Elliot Anderson","MCI","M","M","2","FA","BOU Sun 1:00PM","12,000","305.32","8.03","100","32.3","100%","0%"
"*04agz*","Declan Rice","ARS","M","M","7","FA","COV Fri 7:00PM","11,800","263.58","7.32","100","13.1","100%","0%"
"*05nzu*","Gabriel Magalhaes","ARS","D","D","8","FA","COV Fri 7:00PM","11,600","262.79","8.21","100","23.6","100%","0%"
"*068y0*","Antoine Semenyo","MCI","M,F","F","9","FA","BOU Sun 1:00PM","11,600","261.72","7.07","100","5.3","100%","0%"
"*05ylj*","Bruno Guimaraes","ARS","M","M","21","FA","COV Fri 7:00PM","11,600","227.37","7.84","100","26","100%","0%"
"*0427d*","James Tarkowski","EVE","D","D","6","FA","CRY Sat 2:00PM","11,500","264.73","7.15","100","35.1","100%","0%"
"*04y92*","Bukayo Saka","ARS","M,F","M","20","FA","COV Fri 7:00PM","11,500","228","7.35","100","3.6","100%","0%"
"*050jq*","Marc Guehi","MCI","D","D","4","FA","BOU Sun 1:00PM","11,100","270.57","7.73","100","39.5","100%","0%"
"*03vlj*","Virgil van Dijk","LIV","D","D","13","FA","@NEW Sun 3:30PM","10,500","247.96","6.53","100","28.7","100%","0%"
"*05g2o*","Joao Pedro","CHE","F","F","14","FA","@FUL Mon 7:00PM","10,400","246.4","7.04","100","11.5","100%","0%"
"*063zi*","Matheus Nunes","MCI","D,M","D","25","FA","BOU Sun 1:00PM","10,000","222.47","6.54","100","61.3","99%","-1%"
"*067yz*","Matheus Cunha","MUN","F","F","33","FA","@HUL Sat 11:30AM","10,000","214.19","6.49","100","12.9","100%","0%"
"*0703c*","Nordi Mukiele","SUN","D","D","30","FA","@IPS Sat 2:00PM","9,900","215.73","6.74","100","66.4","98%","0%"
"*06dmj*","Jurrien Timber","ARS","D","D","32","FA","COV Fri 7:00PM","9,900","214.79","7.16","100","63.2","99%","0%"
"*06jgi*","Daniel Munoz","CRY","D","D","68","FA","@EVE Sat 2:00PM","9,600","190.88","6.58","100","24.8","100%","0%"
"*05uht*","Morgan Rogers","CHE","M,F","M","16","FA","@FUL Mon 7:00PM","9,500","239.01","6.46","100","17","100%","0%"
"*068ym*","Enzo Fernandez","CHE","M","M","22","FA","@FUL Mon 7:00PM","9,500","227.29","6.31","100","27.4","100%","0%"
"*06cmm*","Dominik Szoboszlai","LIV","M","M","15","FA","@NEW Sun 3:30PM","9,400","242.06","6.72","100","6.4","100%","0%"
"*05a6e*","Neco Williams","NOT","D","D","17","FA","LEE Sat 2:00PM","9,400","233.3","6.31","100","58.8","100%","0%"
"*05akv*","Tyrick Mitchell","CRY","D","D","19","FA","@EVE Sat 2:00PM","9,400","228.42","6.01","98","132.8","76%","-1%"
"*063e7*","Marcos Senesi","TOT","D","D","5","FA","@BRF Sat 4:30PM","9,300","267.98","7.24","100","85.9","98%","0%"
"*04spw*","James Garner","EVE","M","M","12","FA","CRY Sat 2:00PM","9,300","256.46","6.75","100","48.8","99%","0%"
"*0700t*","Omar Alderete","SUN","D","D","54","FA","@IPS Sat 2:00PM","9,200","197.16","5.97","81","164.6","67%","-13%"
"*05n07*","Pedro Porro","TOT","D","D","27","FA","@BRF Sat 4:30PM","9,100","217.37","6.39","100","30.4","100%","0%"
"*05u1m*","Nathan Collins","BRF","D","D","39","FA","TOT Sat 4:30PM","9,100","209.2","5.98","85","168.3","59%","-2%"
"*05trb*","Bryan Mbeumo","MUN","F","F","82","FA","@HUL Sat 11:30AM","9,100","177.56","5.38","100","20.1","100%","0%"
