"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","Salary","FPts","FP/G","%D","ADP","Ros","+/-"
"*06fuw*","Djordje Petrovic","BOU","G","G","1","FA","@MCI Sun 1:00PM","7,300","142.92","4.08","80","179","76%","-12%"
"*02lz0*","Emiliano Martinez","AVL","G","G","2","FA","@BHA Sun 1:00PM","6,000","140.62","4.02","88","165.1","79%","0%"
"*0427d*","James Tarkowski","EVE","D","D","3","FA","CRY Sat 2:00PM","11,500","138.09","3.84","100","36","100%","0%"
"*032f9*","Jordan Pickford","EVE","G","G","4","FA","CRY Sat 2:00PM","7,400","137.7","3.82","98","141.7","96%","+1%"
"*05y9n*","Lewis Hall","NEW","D","D","5","FA","LIV Sun 3:30PM","8,100","134.85","4.09","100","82.3","98%","-1%"
"*06cmu*","Bart Verbruggen","BHA","G","G","6","FA","AVL Sun 1:00PM","6,400","133.93","4.06","42","233","36%","+10%"
"*062a9*","Sven Botman","NEW","D","D","7","FA","LIV Sun 3:30PM","4,900","133.85","4.18","95","103.9","90%","-2%"
"*03yww*","Dean Henderson","CRY","G","G","8","FA","@EVE Sat 2:00PM","8,600","133.44","3.92","71","196.6","57%","+4%"
"*04qor*","Bernd Leno","FUL","G","G","9","FA","CHE Mon 7:00PM","6,200","132.78","3.79","27","260.9","18%","-1%"
"*06zbx*","Anton Stach","LEE","M","M","10","FA","@NOT Sat 2:00PM","6,200","132.06","4","100","26.4","98%","+1%"
"*06znb*","Robin Roefs","SUN","G","G","11","FA","@IPS Sat 2:00PM","7,900","128.95","3.79","98","139.2","93%","-1%"
"*04f6h*","Matz Sels","NOT","G","G","12","FA","LEE Sat 2:00PM","5,500","128.5","3.89","52","230.7","33%","0%"
"*05l2z*","Bobby Thomas","COV","D","D","13","FA","@ARS Fri 7:00PM","2,000","128.08","3.88","71","188.7","53%","-12%"
"*045ob*","Caoimhin Kelleher","BRF","G","G","14","FA","TOT Sat 4:30PM","8,400","126.11","3.94","96","147.2","90%","-3%"
"*0700p*","Malick Thiaw","NEW","D","D","15","FA","LIV Sun 3:30PM","8,000","125.68","3.7","100","102.7","92%","-3%"
"*06uyc*","Adrien Truffert","BOU","D","D","16","FA","@MCI Sun 1:00PM","6,700","123.99","3.65","100","65","99%","0%"
"*04yo7*","Youri Tielemans","MUN","M","M","17","FA","@HUL Sat 11:30AM","7,400","123.97","4","100","54.9","100%","0%"
"*04y92*","Bukayo Saka","ARS","M,F","M","18","FA","COV Fri 7:00PM","11,500","123.13","3.97","100","3.7","100%","0%"
"*070hl*","Senne Lammens","MUN","G","G","19","FA","@HUL Sat 11:30AM","5,500","123.04","3.84","87","172.4","74%","+5%"
"*04spw*","James Garner","EVE","M","M","20","FA","CRY Sat 2:00PM","9,300","122.59","3.5","100","48.8","98%","0%"
"*0784y*","Tarik Muharemovic","LEE","D","D","21","FA","@NOT Sat 2:00PM","2,000","121.85","3.69","72","189.9","49%","+9%"
"*05gcr*","Bruno Fernandes","MUN","M","M","22","FA","@HUL Sat 11:30AM","15,000","121.83","3.69","100","1.8","100%","0%"
"*03vlj*","Virgil van Dijk","LIV","D","D","23","FA","@NEW Sun 3:30PM","10,500","120.39","3.65","100","29.3","100%","0%"
"*04yme*","Robert Sanchez","CHE","G","G","24","FA","@FUL Mon 7:00PM","6,600","119.86","4","31","255.7","25%","+6%"
"*06fup*","Jeremy Doku","MCI","M,F","M","25","FA","BOU Sun 1:00PM","8,600","119.44","4.27","99","14.6","100%","0%"
"*05r94*","Iliman Ndiaye","EVE","M,F","M","26","FA","CRY Sat 2:00PM","8,900","119.1","3.4","100","37.3","100%","+1%"
"*05os8*","Joachim Andersen","FUL","D","D","27","FA","CHE Mon 7:00PM","7,700","119.04","3.4","35","248.4","26%","-9%"
"*0700t*","Omar Alderete","SUN","D","D","28","FA","@IPS Sat 2:00PM","9,200","118.01","3.58","78","171.6","64%","-15%"
"*06v0p*","Enzo Le Fee","SUN","M","M","29","FA","@IPS Sat 2:00PM","4,800","117.58","3.67","100","50.9","100%","+1%"
"*0635j*","Chris Richards","CRY","D","D","30","FA","@EVE Sat 2:00PM","7,900","117.31","3.55","98","103","91%","-1%"
"*05oeh*","Kenny Tete","FUL","D","D","31","FA","CHE Mon 7:00PM","6,000","116.59","3.64","27","260.9","18%","-3%"
"*03rzp*","Antonee Robinson","FUL","D","D","32","FA","CHE Mon 7:00PM","5,500","116.53","3.64","100","67.5","98%","-1%"
"*05ylj*","Bruno Guimaraes","ARS","M","M","33","FA","COV Fri 7:00PM","11,600","116.48","3.53","100","25.4","100%","0%"
"*06fwz*","Murillo","NOT","D","D","34","FA","LEE Sat 2:00PM","7,200","116.48","3.53","55","216","30%","+4%"
"*0784p*","Hayden Hackney","EVE","M","M","35","FA","CRY Sat 2:00PM","2,000","116.41","3.33","90","153.7","60%","+8%"
"*05akv*","Tyrick Mitchell","CRY","D","D","36","FA","@EVE Sat 2:00PM","9,400","116.35","3.42","98","134.2","75%","-2%"
"*063q8*","Mikkel Damsgaard","BRF","M","M","37","FA","TOT Sat 4:30PM","7,500","115.94","3.74","100","74.3","97%","0%"
"*05s08*","Valentino Livramento","NEW","D","D","38","FA","LIV Sun 3:30PM","13,500","115.73","3.4","23","268","17%","-3%"
"*076cz*","Liam Kitching","COV","D","D","39","FA","@ARS Fri 7:00PM","2,000","115.4","3.72","19","273.6","8%","-2%"
"*06f8y*","Alex Scott","BOU","M","M","40","FA","@MCI Sun 1:00PM","6,900","115.32","3.6","100","89.3","94%","-1%"
"*03mfe*","Matt Grimes","COV","M","M","41","FA","@ARS Fri 7:00PM","2,000","115.02","3.38","21","267.2","13%","+2%"
"*05ybq*","Vitalii Mykolenko","EVE","D","D","42","FA","CRY Sat 2:00PM","7,900","114.86","3.28","38","246.3","24%","-4%"
"*05nns*","Danny Ballard","SUN","D","D","43","FA","@IPS Sat 2:00PM","8,900","114.63","3.7","98","87","95%","0%"
"*06rgg*","Michael Kayode","BRF","D","D","44","FA","TOT Sat 4:30PM","7,500","114.17","3.57","97","106.2","92%","0%"
"*05u1m*","Nathan Collins","BRF","D","D","45","FA","TOT Sat 4:30PM","9,100","114.14","3.36","87","166.1","59%","-2%"
"*04gpx*","Dara O'Shea","IPS","D","D","46","FA","SUN Sat 2:00PM","2,000","113.93","3.56","12","277","8%","-2%"
"*0554g*","Calvin Bassey","FUL","D","D","47","FA","CHE Mon 7:00PM","6,000","113.76","3.35","9","281.5","8%","-1%"
"*062p5*","Levi Colwill","CHE","D","D","48","FA","@FUL Mon 7:00PM","2,600","113.55","3.92","88","162.9","67%","-6%"
"*04agz*","Declan Rice","ARS","M","M","49","FA","COV Fri 7:00PM","11,800","113.52","3.55","100","13.2","100%","0%"
"*076d0*","Milan van Ewijk","COV","D","D","50","FA","@ARS Fri 7:00PM","2,000","113.5","3.34","35","252.3","20%","-3%"
"*076d3*","Jack Rudoni","COV","M","M","51","FA","@ARS Fri 7:00PM","2,000","113.46","3.55","52","225.8","33%","+5%"
"*0435m*","Granit Xhaka","SUN","M","M","52","FA","@IPS Sat 2:00PM","5,800","113.11","3.43","99","99.6","94%","-1%"
"*0703c*","Nordi Mukiele","SUN","D","D","53","FA","@IPS Sat 2:00PM","9,900","113.09","3.65","100","68.8","98%","0%"
"*061vb*","James Hill","BOU","D","D","54","FA","@MCI Sun 1:00PM","5,600","113.06","3.9","99","68","95%","-2%"
"*061va*","Boubacar Kamara","AVL","M","M","55","FA","@BHA Sun 1:00PM","6,000","112.75","3.42","47","231.4","31%","0%"
"*03frx*","Ola Aina","NOT","D","D","56","FA","LEE Sat 2:00PM","8,400","112.67","3.31","75","180.3","45%","+6%"
"*068yd*","Joao Gomes","AVL","M","M","57","FA","@BHA Sun 1:00PM","7,300","112.57","3.31","59","208.1","39%","+11%"
"*05220*","Sepp van den Berg","BRF","D","D","58","FA","TOT Sat 4:30PM","7,100","112.38","3.41","32","243.4","35%","-30%"
"*03yqz*","Joe Rodon","LEE","D","D","59","FA","@NOT Sat 2:00PM","3,800","112.07","3.4","12","281.6","8%","-1%"
"*068lx*","Dango Ouattara","BRF","M,F","M","60","FA","TOT Sat 4:30PM","7,600","111.82","3.49","100","52.5","99%","+1%"
"*06mw0*","Nikola Milenkovic","NOT","D","D","61","FA","LEE Sat 2:00PM","7,500","111.77","3.29","76","182.3","45%","+7%"
"*06mgd*","Abdul Fatawu","IPS","F","F","62","FA","SUN Sat 2:00PM","2,000","111.6","3.6","86","166.3","51%","+9%"
"*05o4b*","Matty Cash","AVL","D","D","63","FA","@BHA Sun 1:00PM","7,700","111.53","3.28","98","123.1","82%","+1%"
"*04sjt*","Alisson Becker","LIV","G","G","64","FA","@NEW Sun 3:30PM","7,300","111.52","3.38","68","192.7","64%","+15%"
"*05a6e*","Neco Williams","NOT","D","D","65","FA","LEE Sat 2:00PM","9,400","111.51","3.38","100","57.4","100%","0%"
"*05nzu*","Gabriel Magalhaes","ARS","D","D","66","FA","COV Fri 7:00PM","11,600","111.23","3.37","100","23.8","100%","0%"
"*06jgi*","Daniel Munoz","CRY","D","D","67","FA","@EVE Sat 2:00PM","9,600","111.22","3.27","100","25.5","100%","0%"
"*0788g*","Lukas Hornicek","NEW","G","G","68","FA","LIV Sun 3:30PM","2,000","111.06","3.37","13","278.5","10%","+5%"
"*05oz3*","James Trafford","LEE","G","G","69","FA","@NOT Sat 2:00PM","2,600","110.88","4.11","74","198.3","57%","+15%"
"*067yz*","Matheus Cunha","MUN","F","F","70","FA","@HUL Sat 11:30AM","10,000","110.67","3.57","100","12.6","100%","0%"
"*052ca*","Ezri Konsa","AVL","D","D","71","FA","@BHA Sun 1:00PM","6,700","110.62","3.25","35","243.5","27%","+5%"
"*05oh0*","Jan-Paul van Hecke","TOT","D","D","72","FA","@BRF Sat 4:30PM","9,000","110.52","3.57","100","77.4","100%","0%"
"*06v0g*","Trai Hume","SUN","D","D","73","FA","@IPS Sat 2:00PM","4,500","110.35","3.34","82","174.2","61%","-10%"
"*063e7*","Marcos Senesi","TOT","D","D","74","FA","@BRF Sat 4:30PM","9,300","110.32","3.68","99","86.7","98%","0%"
"*0477b*","Oliver McBurnie","HUL","F","F","75","FA","MUN Sat 11:30AM","2,000","110.1","3.24","100","97.2","90%","-2%"
"*06v21*","Florian Wirtz","LIV","M","M","76","FA","@NEW Sun 3:30PM","4,800","109.81","3.54","100","8.8","100%","0%"
"*04lav*","Ethan Ampadu","LEE","D,M","M","77","FA","@NOT Sat 2:00PM","4,800","109.7","3.32","91","140.5","66%","-7%"
"*052cb*","Ian Maatsen","AVL","D","D","78","FA","@BHA Sun 1:00PM","5,500","109.58","3.91","88","157.3","63%","0%"
"*05n07*","Pedro Porro","TOT","D","D","79","FA","@BRF Sat 4:30PM","9,100","109.52","3.65","100","30.1","100%","0%"
"*05r34*","Amad Diallo","MUN","M,F","M","80","FA","@HUL Sat 11:30AM","7,600","108.98","3.52","100","62.3","99%","-1%"
"*072zs*","Nilson Angulo","SUN","M,F","M","81","FA","@IPS Sat 2:00PM","2,500","108.64","3.75","94","122.1","82%","-9%"
"*06fxe*","Ryan Gravenberch","LIV","M","M","82","FA","@NEW Sun 3:30PM","8,700","107.84","3.37","100","86.6","97%","-1%"
"*05l27*","Jarrad Branthwaite","EVE","D","D","83","FA","CRY Sat 2:00PM","9,000","107.57","3.26","96","135","72%","-1%"
"*05mzz*","Pascal Struijk","BHA","D","D","84","FA","AVL Sun 1:00PM","4,900","107.02","3.34","92","141.6","67%","-6%"
"*070hj*","Kevin","FUL","F","F","85","FA","CHE Mon 7:00PM","3,400","106.76","3.81","88","162.9","56%","+1%"
"*06fv8*","Mohammed Kudus","TOT","M","M","86","FA","@BRF Sat 4:30PM","7,900","106.71","3.56","100","36.3","99%","0%"
"*06yb7*","Gabriel Gudmundsson","LEE","D","D","87","FA","@NOT Sat 2:00PM","3,900","106.65","3.33","2","290.5","4%","0%"
"*0521z*","James Justin","LEE","D","D","88","FA","@NOT Sat 2:00PM","5,800","106.59","3.55","60","219","37%","-11%"
"*051k0*","John McGinn","AVL","M","M","89","FA","@BHA Sun 1:00PM","6,300","106.41","3.22","99","115.8","87%","-4%"
"*05gcc*","Kiernan Dewsbury-Hall","EVE","M","M","90","FA","CRY Sat 2:00PM","6,400","106.1","3.32","100","54","100%","0%"
"*04qr9*","Morgan Gibbs-White","NOT","M","M","91","FA","LEE Sat 2:00PM","9,000","105.93","3.21","100","12.2","100%","0%"
"*06v07*","Rayan Cherki","MCI","M","M","92","FA","BOU Sun 1:00PM","6,200","105.7","3.77","100","13.6","100%","0%"
