"ID","Player","Team","Position","RkOv","Status","Opponent","Salary","FPts","FP/G","%D","ADP","Ros","GP","Min","G","A2","KP","AT","SOP","TLM","Tu","ErS","ErG","YC","SYC","RC","RCR","HB","Pen","Off","SFTP","AC","Int","CLO","CLR","CoSF","BC","BS","TkW+BS","DW","AER","BCC","BCM","BR","FKG","SBON","PKM","PKD","OG","GAO","CS"
"*04y92*","Bukayo Saka","ARS","M","1","FA","@MUN Sun 3:30PM","10,300","335.82","9.59","100","2.1","100%","35","2,916","16","0","91","13","2","0","56","0","1","4","0","0","0","5","0","8","650","45","15","0","19","118","5","2","37","207","24","15","11","155","0","0","0","1","0","27","16"
"*05ylj*","Bruno Guimaraes","NEW","M","2","FA","@AVL Sat 11:30AM","10,300","313.36","8.47","100","64.6","99%","37","3,262","7","0","62","9","1","1","61","0","0","9","0","0","0","3","0","0","564","12","35","0","19","180","1","14","67","286","18","12","2","237","0","0","0","0","0","60","10"
"*04abb*","Phil Foden","MCI","M","3","FA","@WOL Sat 4:30PM","6,900","304.01","8.69","100","27.5","100%","35","2,850","19","0","73","8","1","0","62","1","0","2","0","0","0","1","1","5","677","19","13","0","16","107","2","0","20","144","6","10","7","127","2","2","0","0","0","27","14"
"*05ocl*","Ollie Watkins","AVL","F","4","FA","NEW Sat 11:30AM","8,400","303.45","8.2","100","17.8","100%","37","3,212","19","0","45","18","4","0","78","0","0","4","0","0","0","2","0","16","212","2","4","2","19","67","1","4","11","128","50","11","22","64","0","0","0","2","0","56","7"
"*05l8q*","Cole Palmer","CHE","M","5","FA","CRY Sun 1:00PM","11,200","298.2","8.77","100","2.8","100%","34","2,604","22","0","72","13","1","0","58","2","0","7","0","0","0","0","0","6","509","16","20","0","11","78","2","2","14","102","1","17","7","105","0","5","0","1","0","46","7"
"*0524k*","Rodri","MCI","M","6","FA","@WOL Sat 4:30PM","2,700","295.39","8.69","99","56.4","98%","34","2,931","8","1","49","10","0","1","23","3","1","8","0","1","0","1","0","6","1,019","0","26","0","40","77","1","8","51","201","55","8","2","235","0","0","0","1","0","26","14"
"*05gcr*","Bruno Fernandes","MUN","M","7","FA","ARS Sun 3:30PM","11,600","287.72","8.22","100","4.8","100%","35","3,117","10","2","114","9","3","0","48","2","0","9","0","0","0","0","0","13","666","52","27","0","47","47","3","6","44","136","21","21","7","200","0","0","1","0","0","52","7"
"*05r9b*","Martin Odegaard","ARS","M","8","FA","@MUN Sun 3:30PM","8,700","287.13","8.2","100","18.1","100%","35","3,085","8","0","102","11","0","0","53","0","0","2","0","0","0","0","0","3","811","30","15","0","5","73","0","1","18","125","3","17","4","158","0","0","0","1","0","23","19"
"*04agz*","Declan Rice","ARS","M","9","FA","@MUN Sun 3:30PM","9,500","282.03","7.42","100","32.1","100%","38","3,222","7","0","47","9","1","0","31","0","0","5","0","0","0","1","2","2","653","21","44","2","51","34","1","11","62","156","39","9","2","178","0","1","0","0","0","28","17"
"*04mdn*","Anthony Gordon","NEW","M","10","FA","@AVL Sat 11:30AM","7,900","280.79","8.02","100","25.3","100%","35","2,880","11","0","57","16","2","0","70","0","0","10","1","1","0","0","0","8","338","30","7","0","4","121","3","0","34","185","9","16","9","125","0","1","0","6","0","48","12"
