"*051kg*","384","Max Aarons","BOU","D","2500"
"*061vp*","183","Brenden Aaronson","LEE","M","5900"
"*06442*","385","Zach Abbott","NOT","D","2600"
"*06mgd*","63","Abdul Fatawu","IPS","F","4000"
"*0410j*","319","Tammy Abraham","AVL","F","2700"
"*06kwp*","185","Josh Acheampong","CHE","D","2600"
"*062h7*","203","Tyler Adams","BOU","M","4300"
"*03yeg*","386","Tosin Adarabioyo","TOT","D","3000"
"*078qi*","387","Miracle Adewole","TOT","D","2500"
"*0626q*","388","Simon Adingra","SUN","F","2800"
"*070ci*","389","Amine Adli","BOU","F","3200"
"*0794f*","390","David Affengruber","FUL","D","2000"
"*0793y*","391","Honest Ahanor","CRY","D","2500"
"*0790i*","392","Jules Ahoka","SUN","M","2500"
"*03frx*","123","Ola Aina","NOT","D","6800"
"*05os4*","393","Rayan Ait-Nouri","MCI","D","5300"
"*03ksl*","18","Semi Ajayi","HUL","D","6600"
"*05uel*","58","Kristoffer Ajer","BRF","D","4200"
"*06r5r*","394","Matai Akinmboni","BOU","D","3000"
"*076dr*","395","David Akintola","HUL","M,F","2500"
"*0326x*","179","Chuba Akpom","IPS","F","3900"
"*0687c*","339","Carlos Alcaraz","EVE","M","2800"
"*0700t*","665","Omar Alderete","SUN","D","6900"
"*060wh*","285","Alejandro Garnacho","AVL","M,F","4400"
"*05ogg*","396","Ajibola Alese","SUN","D","2500"
"*04sjt*","121","Alisson Becker","LIV","G","7000"
"*0793p*","398","Allan","MCI","F","2500"
"*072j3*","290","Alysson","AVL","F","2500"
"*06l2r*","397","Harry Amass","MUN","D","2800"
"*0784i*","172","Aurele Amenda","COV","D","4100"
"*04lav*","83","Ethan Ampadu","LEE","D,M","6600"
"*05os8*","210","Joachim Andersen","FUL","D","6300"
"*05opj*","69","Elliot Anderson","MCI","M","11600"
"*02lzt*","399","Keith Andrews","COV","M","2500"
"*068a0*","215","Andrey Santos","MUN","M","2800"
"*0794k*","401","Juan Angulo","SUN","F","2000"
"*072zs*","110","Nilson Angulo","SUN","M,F","2700"
"*0793w*","402","Ilyas Ansah","HUL","F","2500"
"*06r5m*","403","Aaron Anselmino","CHE","D","3000"
"*061vk*","211","Jaidon Anthony","BRF","M,F","5700"
"*03rzp*","171","Antonee Robinson","FUL","D","6700"
"*0787y*","138","Antonio Silva","BOU","D","4200"
"*06p4l*","405","Julian Araujo","BOU","D","2500"
"*078i7*","142","Ronald Araujo","LIV","D","4200"
"*06onv*","90","Harrison Armstrong","EVE","M","2600"
"*078fx*","407","Owen Asemota","AVL","G","2500"
"*04gyd*","408","Brandon Austin","TOT","G","2500"
"*078gc*","409","Caelan Avenell","BRF","D","2500"
"*04rzl*","238","Taiwo Awoniyi","COV","F","3000"
"*068yc*","251","Yasin Ayari","BHA","M","6600"
"*0794n*","410","Femi Azeez","BHA","F","2000"
"*06zef*","411","Adam Aznou","EVE","D","3000"
"*06xzn*","412","Abdoullah Ba","SUN","M","2500"
"*06804*","413","Benoit Badiashile","CHE","D","2600"
"*0794i*","414","Jean-Matteo Bahoya","LEE","F","2000"
"*05uns*","415","Leon Bailey","AVL","M,F","2800"
"*062p0*","416","Stefan Bajcetic","LIV","M","2800"
"*070hn*","417","Dilane Bakwa","NOT","F","2800"
"*05u40*","418","Ellery Balcombe","BRF","G","2500"
"*06fwi*","419","Carlos Baleba","MUN","M","3300"
"*05nns*","79","Danny Ballard","SUN","D","7100"
"*07859*","340","Aladji Bamba","NEW","M","3900"
"*06j20*","358","Valentin Barco","CHE","D,M","3100"
"*0793q*","330","Bradley Barcola","LIV","F","2500"
"*0794c*","420","Melvin Bard","LEE","D","2000"
"*02lpf*","129","Ross Barkley","AVL","M","3300"
"*04abn*","42","Harvey Barnes","NEW","M","5200"
"*06ybp*","117","Thierno Barry","EVE","F","3600"
"*0554g*","202","Calvin Bassey","FUL","D","5700"
"*076dq*","59","Mohamed Belloumi","HUL","M,F","5700"
"*06fwn*","421","Steven Benda","NOT","G","2800"
"*06xze*","423","Walter Benitez","CRY","G","3800"
"*05ylw*","154","Rodrigo Bentancur","TOT","M","4200"
"*02lo6*","422","Daniel Bentley","COV","G","2500"
"*05gcs*","226","Sander Berge","FUL","M","4800"
"*06mn7*","667","Lucas Bergvall","TOT","M","2800"
"*06fvn*","311","Beto","EVE","F","4200"
"*02ls8*","424","Marcus Bettinelli","MCI","G","2500"
"*02lpi*","426","Jake Bidwell","COV","D","2500"
"*06v51*","115","Jaka Bijol","LEE","D","4100"
"*06xzi*","427","Tyler Bindon","NOT","D","3000"
"*06ymt*","352","Marco Bizot","AVL","G","3000"
"*05ye7*","153","Oscar Bobb","FUL","M","2900"
"*05r4h*","348","Lamare Bogarde","AVL","M","2600"
"*05o8o*","34","Jayden Bogle","LEE","D","5600"
"*0784j*","428","Raphael Borges Rodrigues","COV","F","2800"
"*06ewm*","429","Alex Borto","FUL","G","2500"
"*06y26*","98","Olivier Boscagli","BHA","D","3500"
"*062a9*","127","Sven Botman","NEW","D","5900"
"*0792s*","283","Ayyoub Bouaddi","MCI","M","2700"
"*05uhj*","430","Conor Bradley","LIV","D","3700"
"*06pry*","363","Kaden Braithwaite","MCI","D","2800"
"*05l27*","88","Jarrad Branthwaite","EVE","D","6300"
"*076d1*","431","Miguel Angel Brau","COV","D","2800"
"*070hc*","216","Brian Brobbey","SUN","F","4700"
"*04rh9*","310","David Brooks","BOU","M","2800"
"*06v0k*","432","Alan Browne","SUN","M","3000"
"*07947*","433","Lucca Brughmans","LIV","G","2500"
"*05gcr*","1","Bruno Fernandes","MUN","M","15000"
"*05ylj*","347","Bruno Guimaraes","ARS","M","11400"
"*051kl*","165","Emiliano Buendia","AVL","M","4200"
"*02lsa*","434","Dan Burn","NEW","D","5800"
"*06r7l*","435","Bradley Burrowes","AVL","M,F","2500"
"*032aa*","436","Jack Butland","HUL","G","4300"
"*02t13*","437","David Button","IPS","G","2500"
"*03ysd*","438","Sam Byram","LEE","D","2500"
"*0328q*","439","Tom Cairney","FUL","M","2800"
"*06uzw*","440","Alex Cairns","LEE","G","2500"
"*06nu7*","29","Riccardo Calafiori","ARS","D","6200"
"*049tq*","148","Dominic Calvert-Lewin","LEE","F","7600"
"*070hb*","264","Jaydee Canvot","CRY","D","4400"
"*05o4b*","189","Matty Cash","AVL","D","6400"
"*06rlf*","442","Eiran Cashin","BHA","D","2500"
"*05o4c*","49","Timothy Castagne","FUL","D","4400"
"*078hj*","444","Max-Edgar Chabot","MCI","G","2500"
"*06yxd*","445","Rhys Chadwick","LEE","M","2500"
"*06v00*","446","Sam Chambers","LEE","M","2500"
"*05uhq*","220","Shea Charles","FUL","D,M","4100"
