*051kg*,1,Max Aarons,BOU,D,2500.0
*061vp*,2,Brenden Aaronson,LEE,M,5800.0
*06442*,3,Zach Abbott,NOT,D,2600.0
*06mgd*,187,Abdul Fatawu,IPS,F,5200.0
*07851*,4,Joshua Abe,LIV,F,2500.0
*0410j*,5,Tammy Abraham,AVL,F,2900.0
*06kwp*,6,Josh Acheampong,CHE,D,2800.0
*062h7*,7,Tyler Adams,BOU,M,5000.0
*03yeg*,8,Tosin Adarabioyo,CHE,D,3400.0
*078qi*,9,Miracle Adewole,TOT,D,2500.0
*0626q*,10,Simon Adingra,SUN,F,3000.0
*070ci*,11,Amine Adli,BOU,F,3800.0
*03frx*,12,Ola Aina,NOT,D,7600.0
*05os4*,13,Rayan Ait-Nouri,MCI,D,5800.0
*06q2h*,14,Damola Ajayi,TOT,F,2500.0
*03ksl*,15,Semi Ajayi,HUL,D,2600.0
*05uel*,16,Kristoffer Ajer,BRF,D,4300.0
*06r5r*,17,Matai Akinmboni,BOU,D,3600.0
*076dr*,18,David Akintola,HUL,"M,F",2500.0
*0326x*,19,Chuba Akpom,IPS,F,2500.0
*02lkt*,20,Ali Al-Hamadi,IPS,F,2500.0
*0687c*,21,Carlos Alcaraz,EVE,M,3100.0
*0700t*,22,Omar Alderete,SUN,D,8400.0
*060wh*,209,Alejandro Garnacho,AVL,"M,F",5200.0
*05ogg*,23,Ajibola Alese,SUN,D,2500.0
*04sjt*,489,Alisson Becker,LIV,G,7000.0
*072j3*,649,Alysson Edward,AVL,F,2500.0
*06l2r*,25,Harry Amass,MUN,D,3000.0
*0784i*,26,Aurele Amenda,COV,D,3200.0
*04lav*,27,Ethan Ampadu,LEE,"D,M",6600.0
*05os8*,28,Joachim Andersen,FUL,D,7300.0
*05opj*,29,Elliot Anderson,MCI,M,11600.0
*02lzt*,30,Keith Andrews,COV,M,2500.0
*068a0*,425,Andrey Santos,MUN,M,2800.0
*072zs*,31,Nilson Angulo,SUN,"M,F",2700.0
*06r5m*,32,Aaron Anselmino,CHE,D,3400.0
*061vk*,33,Jaidon Anthony,BRF,"M,F",5800.0
*03rzp*,502,Antonee Robinson,FUL,D,6700.0
*0787y*,469,Antonio Silva,BOU,D,4200.0
*06p4l*,35,Julian Araujo,BOU,D,2500.0
*078i7*,36,Ronald Araujo,LIV,D,4400.0
*06v08*,37,Daniel Armer,MUN,D,2500.0
*06onv*,38,Harrison Armstrong,EVE,M,2700.0
*078fx*,40,Owen Asemota,AVL,G,2500.0
*04gyd*,41,Brandon Austin,TOT,G,2500.0
*078gc*,42,Caelan Avenell,BRF,D,2500.0
*04rzl*,43,Taiwo Awoniyi,COV,F,3000.0
*068yc*,44,Yasin Ayari,BHA,M,6600.0
*06zef*,45,Adam Aznou,EVE,D,3500.0
*06xzn*,46,Abdoullah Ba,SUN,M,2500.0
*06804*,47,Benoit Badiashile,CHE,D,2800.0
*05uns*,48,Leon Bailey,AVL,"M,F",3200.0
*062p0*,49,Stefan Bajcetic,LIV,M,3000.0
*070hn*,50,Dilane Bakwa,NOT,F,3000.0
*05u40*,51,Ellery Balcombe,BRF,G,2500.0
*06fwi*,52,Carlos Baleba,BHA,M,3700.0
*05nns*,53,Danny Ballard,SUN,D,7100.0
*07859*,54,Aladji Bamba,NEW,M,3900.0
*06j20*,55,Valentin Barco,CHE,"D,M",3100.0
*02lpf*,56,Ross Barkley,AVL,M,3400.0
*04abn*,57,Harvey Barnes,NEW,M,5200.0
*06ybp*,58,Thierno Barry,EVE,F,3400.0
*0554g*,59,Calvin Bassey,FUL,D,6500.0
*076dq*,60,Mohamed Belloumi,HUL,"M,F",4300.0
*06zod*,61,Dean Benamar,CRY,D,2500.0
*06fwn*,62,Steven Benda,NOT,G,3000.0
*0784l*,63,Lucca Benetton,CRY,G,2500.0
*06xze*,66,Walter Benitez,CRY,G,5000.0
*05ylw*,64,Rodrigo Bentancur,TOT,M,4600.0
*072zo*,65,Luka Bentt,BRF,M,2500.0
*05gcs*,67,Sander Berge,FUL,M,5500.0
*06mn7*,68,Lucas Bergvall,TOT,M,3200.0
*06fvn*,219,Beto,EVE,F,5000.0
*02ls8*,69,Marcus Bettinelli,MCI,G,2500.0
*02lpi*,71,Jake Bidwell,COV,D,2500.0
*06v51*,72,Jaka Bijol,LEE,D,4100.0
*06xzi*,73,Tyler Bindon,NOT,D,3600.0
*06ymt*,74,Marco Bizot,AVL,G,3000.0
*05ye7*,75,Oscar Bobb,FUL,M,3200.0
*05r4h*,76,Lamare Bogarde,AVL,M,2800.0
*05o8o*,77,Jayden Bogle,LEE,D,5600.0
*0784j*,79,Raphael Borges Rodrigues,COV,F,3200.0
*06y28*,80,Sebastiaan Bornauw,LEE,D,2600.0
*06ewm*,81,Alex Borto,FUL,G,2500.0
*06y26*,82,Olivier Boscagli,BHA,D,3100.0
*062a9*,83,Sven Botman,NEW,D,5900.0
*05uhj*,84,Conor Bradley,LIV,D,4200.0
*05l27*,85,Jarrad Branthwaite,EVE,D,6300.0
*076d1*,86,Miguel Angel Brau,COV,D,3100.0
*070hc*,87,Brian Brobbey,SUN,F,4700.0
*04rh9*,88,David Brooks,BOU,M,3200.0
*06v0k*,89,Alan Browne,SUN,M,3400.0
*05gcr*,78,Bruno Fernandes,MUN,M,15000.0
*05ylj*,237,Bruno Guimaraes,ARS,M,11400.0
*051kl*,90,Emiliano Buendia,AVL,M,4600.0
*02lsa*,91,Dan Burn,NEW,D,6500.0
*06r7l*,92,Bradley Burrowes,AVL,M,2500.0
*032aa*,93,Jack Butland,HUL,G,6100.0
*02t13*,94,David Button,IPS,G,2500.0
*03ysd*,95,Sam Byram,LEE,D,2500.0
*0785p*,96,Harry Byrne,TOT,M,2500.0
*0328q*,98,Tom Cairney,FUL,M,3000.0
*06uzw*,99,Alex Cairns,LEE,G,2500.0
*06nu7*,100,Riccardo Calafiori,ARS,D,6200.0
*049tq*,101,Dominic Calvert-Lewin,LEE,F,7600.0
*070hb*,102,Jaydee Canvot,CRY,D,4400.0
*05o4b*,104,Matty Cash,AVL,D,7400.0
*06rlf*,105,Eiran Cashin,BHA,D,2500.0
*05o4c*,107,Timothy Castagne,FUL,D,4200.0
*078hj*,108,Max-Edgar Chabot,MCI,G,2500.0
*06yxd*,109,Rhys Chadwick,LEE,M,2500.0
*062p1*,110,Luke Chambers,LIV,D,2800.0
*06v00*,111,Sam Chambers,LEE,M,2500.0
*05uhq*,112,Shea Charles,FUL,"D,M",4100.0
*06mgh*,113,Dylan Charlton,NEW,D,2500.0
*078le*,114,Pep Chavarria,CHE,D,3400.0
*06v07*,115,Rayan Cherki,MCI,M,8400.0
*06phw*,116,Federico Chiesa,LIV,F,2800.0
*061ve*,117,Ryan Christie,BOU,M,4400.0
*07847*,118,Modou Cisse,AVL,"D,M",2500.0
*05u1m*,120,Nathan Collins,BRF,D,8800.0
*06crn*,121,Toby Collyer,MUN,M,2500.0
*062p5*,122,Levi Colwill,CHE,D,4200.0
*043qy*,123,Lewis Cook,BOU,M,3800.0
*076kd*,350,Costinha,BHA,D,2500.0
*076dg*,125,Lewie Coyle,HUL,D,5100.0
*064oo*,126,Amario Cozier-Duberry,BHA,M,2500.0
*07857*,127,Luke Craggs,NEW,D,2500.0
*075zi*,128,Alfie Cresswell,LEE,M,2500.0
*076dn*,129,Matt Crooks,HUL,M,5200.0
*06nyw*,130,Jorge Cuenca,FUL,D,3000.0
*06jb3*,131,Ted Curd,CHE,G,2500.0
*06mnd*,650,Eric da Silva Moreira,NOT,F,2500.0
*03fgl*,651,Jay da Silva,COV,D,5400.0
*063q8*,133,Mikkel Damsgaard,BRF,M,8000.0
*057cr*,134,Kevin Danso,TOT,D,3900.0
*06uzv*,106,Dario Essugo,CHE,M,2500.0
*03pif*,135,Karl Darlow,MUN,G,5100.0
*048xg*,136,Josh Dasilva,BRF,M,2500.0
*0784k*,137,Aidan Dausch,COV,F,2500.0
*067z4*,196,David Datro Fofana,CHE,F,2500.0
*02oo1*,138,Ben Davies,TOT,D,3200.0
*05rfp*,139,Harvey Davies,LIV,G,2500.0
*05nil*,140,Leif Davis,IPS,D,4300.0
*06y9m*,141,Maxim De Cuyper,BHA,D,3800.0
*06ewn*,142,Luc De Fougerolles,FUL,D,2500.0
*06p4k*,654,Matthijs de Ligt,MUN,D,4500.0
*03yww*,259,Dean Henderson,CRY,G,8800.0
*078ud*,143,Amar Dedic,NEW,D,2700.0
*05oig*,144,Liam Delap,CHE,F,3200.0
*056as*,145,William Dennis,BOU,G,2500.0
*063y7*,604,Destiny Udogie,TOT,D,3400.0
*07854*,146,Jacob Devaney,MUN,M,2500.0
*06kx1*,147,Justin Devenny,CRY,M,2800.0
*05gcc*,148,Kiernan Dewsbury-Hall,EVE,M,7200.0
*0700u*,150,Bafode Diakite,BOU,D,3600.0
*0784d*,149,Calvin Diakite,CHE,D,2500.0
*05r34*,151,Amad Diallo,MUN,"M,F",7800.0
*06y29*,152,Habib Diarra,SUN,M,3500.0
*06195*,153,Tyler Dibling,EVE,M,2800.0
*06r5b*,243,Diego Gomez,BHA,M,5000.0
*04qfz*,132,Diogo Dalot,MUN,D,8000.0
*078j4*,154,Ousmane Diomande,NOT,D,2900.0
*04qos*,155,Issa Diop,IPS,D,3000.0
*06ew2*,156,Axel Disasi,CHE,D,3400.0
*066nn*,157,Ben Doak,BOU,"M,F",2500.0
*06fup*,158,Jeremy Doku,MCI,"M,F",9700.0
*06fy7*,159,Nicolas Dominguez,NOT,M,3600.0
*066t3*,160,Jamie Donley,TOT,"M,F",2800.0
*070hs*,161,Gianluigi Donnarumma,MCI,G,8700.0
*06rlj*,162,Patrick Dorgu,MUN,D,5800.0
*062ot*,163,Cheick Doucoure,CRY,M,2600.0
*076cw*,164,Oliver Dovin,COV,G,3200.0
*03m5h*,165,Kieran Dowell,HUL,M,2500.0
*06zbp*,166,Max Dowman,ARS,M,2800.0
*072h9*,167,Joel Drakes-Thomas,CRY,F,2500.0
*05roa*,168,Cody Drameh,HUL,D,3300.0
*04mr4*,169,Martin Dubravka,TOT,G,6600.0
*04e1c*,170,Lewis Dunk,BHA,D,6300.0
*076d6*,171,Josh Eccles,COV,M,3300.0
*06kyw*,172,Claudio Echeverri,MCI,M,2500.0
*02m5l*,173,John Egan,HUL,D,4300.0
*076dx*,174,Sindre Egeli,IPS,"M,F",2500.0
*06zbz*,175,Hugo Ekitike,LIV,F,6000.0
*05ogb*,176,Anthony Elanga,NEW,F,3800.0
*072zp*,177,Melker Ellborg,SUN,G,4100.0
*078qj*,178,Reiss Elliot-Parris,TOT,F,2500.0
*04xjr*,179,Harvey Elliott,LIV,M,2700.0
*076kg*,180,Emmanuel Emegha,CHE,F,2500.0
*06shp*,181,Landon Emenalo,CHE,"D,M",2500.0
*0784w*,124,Emersonn,IPS,F,3700.0
*02lz0*,368,Emiliano Martinez,AVL,G,7000.0
*061xs*,182,Julio Enciso,IPS,M,2700.0
*06fso*,183,Wataru Endo,LIV,M,2800.0
*06r9h*,185,Romain Esse,CRY,M,2600.0
*06yxe*,24,Estevao,CHE,F,3000.0
*06p6j*,655,Evanilson,BOU,F,6600.0
*05nt6*,186,Eberechi Eze,ARS,M,7800.0
*05ojf*,103,Fabio Carvalho,BRF,M,2600.0
*061z3*,608,Fabio Vieira,ARS,M,3300.0
*05vyj*,188,Evan Ferguson,BHA,F,2500.0
*068ym*,189,Enzo Fernandez,CHE,M,9600.0
*0785f*,191,Matheos Ferreira,NEW,F,2500.0
*0785b*,192,Rory Finneran,NEW,M,2500.0
*070ha*,411,Florentino,IPS,M,3800.0
*04abb*,195,Phil Foden,MCI,M,8000.0
*02ltw*,198,Fraser Forster,BOU,G,2800.0
*078lg*,199,Harvey Foster,EVE,M,2500.0
*06igq*,201,Benjamin Fredrick,BRF,D,2500.0
*06v05*,202,Jeremie Frimpong,LIV,D,4300.0
*03mga*,203,Darnell Furlong,IPS,D,4200.0
*072mp*,204,Kaye Furo,BRF,F,2500.0
*045c8*,653,Gabriel Jesus,ARS,F,3000.0
*05nzu*,658,Gabriel Magalhaes,ARS,D,10900.0
*052h5*,367,Gabriel Martinelli,ARS,"M,F",3700.0
*07856*,205,Joseph Gabriel,MUN,F,2500.0
*067yv*,206,Cody Gakpo,LIV,F,8300.0
*051k8*,207,Conor Gallagher,TOT,M,4200.0
*07898*,208,Gonzalo Garcia,FUL,F,4000.0
*04spw*,210,James Garner,EVE,M,9300.0
*05n3u*,212,Joe Gelhardt,HUL,F,3600.0
*06l4i*,213,Tyrique George,EVE,F,2600.0
*076kf*,580,Geovany Quenda,CHE,M,2500.0
*04qr9*,214,Morgan Gibbs-White,NOT,M,9500.0
*04sjv*,215,Ryan Giles,HUL,D,3700.0
*05n09*,216,Mark Gillespie,NEW,G,2500.0
*06y9n*,217,Jamie Gittens,CHE,F,2600.0
*064a0*,218,Wilfried Gnonto,LEE,F,2700.0
*03r93*,221,Joseph Gomez,LIV,D,3000.0
*06rm7*,222,Nico Gonzalez,MCI,M,4200.0
*066rn*,223,Daniel Gore,MUN,M,2500.0
*078qh*,224,Lucas Gourna-Douath,HUL,M,3200.0
*072iu*,225,Braiden Graham,EVE,F,2500.0
*06fxe*,226,Ryan Gravenberch,LIV,M,8500.0
*05y7c*,227,Archie Gray,TOT,M,3100.0
*02lm7*,228,Jack Grealish,MCI,M,6600.0
*06msc*,229,Jacob Greaves,IPS,D,4400.0
*078gd*,230,Andre Grey,BRF,M,2500.0
*03mfe*,231,Matt Grimes,COV,M,6400.0
*04fk1*,232,Pascal Gross,BHA,M,7400.0
*06v01*,233,Ilia Gruev,LEE,M,2900.0
*06yb7*,234,Gabriel Gudmundsson,LEE,D,5200.0
*050jq*,235,Marc Guehi,MCI,D,10500.0
*06zwj*,236,Evann Guessand,CRY,F,3400.0
*06mnm*,238,Marc Guiu,CHE,F,2600.0
*06phr*,439,Gustavo Nunes,BRF,F,2500.0
*06clz*,239,Malo Gusto,CHE,D,5500.0
*06ex4*,240,Josko Gvardiol,MCI,D,7400.0
*062du*,241,Darko Gyabi,HUL,M,3200.0
*04tsb*,242,Viktor Gyokeres,ARS,F,4800.0
*061vq*,244,Erling Haaland,MCI,F,12200.0
*0784p*,245,Hayden Hackney,EVE,M,4600.0
*05y9n*,246,Lewis Hall,NEW,D,8100.0
*06fg0*,249,Gustavo Hamer,COV,M,3300.0
*06qvv*,250,Malachi Hardy,TOT,D,2500.0
*06h1g*,251,Aidan Harris,NEW,G,2500.0
*06zqq*,252,Jorrel Hato,CHE,D,3000.0
*05o6h*,253,Kai Havertz,ARS,F,4100.0
*05rey*,254,Kaine Hayden,COV,D,2700.0
*078gh*,255,Fred Heath,MUN,G,2500.0
*03dwz*,256,Tom Heaton,MUN,G,2500.0
*06kqy*,257,Ayden Heaven,MUN,D,3100.0
*06zvn*,258,George Hemmings,AVL,M,2500.0
*02lk5*,260,Jordan Henderson,CHE,M,3100.0
*05tqz*,261,Rico Henry,BRF,D,3200.0
*078ml*,262,Lucas Herrington,HUL,D,2500.0
*062og*,263,Aaron Hickey,BRF,D,2700.0
*061vb*,264,James Hill,BOU,D,6300.0
*070hq*,265,Piero Hincapie,ARS,D,5500.0
*067ys*,266,Jack Hinshelwood,BHA,M,4600.0
*05m47*,267,George Hirst,IPS,F,2500.0
*078fz*,268,Jens Hjerto-Dahl,HUL,M,2500.0
*078lh*,269,Solomon Honor,MUN,G,2500.0
*0788g*,270,Lukas Hornicek,NEW,G,6700.0
*04mi4*,271,Callum Hudson-Odoi,NOT,F,5600.0
*076dh*,272,Charlie Hughes,HUL,D,5200.0
*04f6o*,273,Will Hughes,CRY,M,3600.0
*06v0g*,274,Trai Hume,SUN,D,6100.0
*06mg4*,275,Cameron Humphreys,IPS,M,2500.0
*05ubv*,276,Omari Hutchinson,NOT,F,6000.0
*06y9o*,356,Igor Jesus,NOT,F,4400.0
*06eka*,659,Igor Julio,BHA,D,2700.0
*06mn0*,424,Igor Thiago,BRF,F,8300.0
*05r94*,426,Iliman Ndiaye,EVE,"M,F",9200.0
*05t6z*,277,Tim Iroegbunam,EVE,M,3400.0
*0646f*,278,Alexander Isak,LIV,F,4600.0
*06v0t*,279,Wilson Isidor,SUN,F,2800.0
*05748*,526,Ismaila Sarr,CRY,"M,F",7500.0
*038ze*,281,Alex Iwobi,FUL,"M,F",7300.0
*05244*,119,Jack Clarke,IPS,"M,F",3100.0
*06mul*,193,Jack Fletcher,MUN,M,2500.0
*078t9*,282,Mikel Jack,TOT,G,2500.0
*06cm1*,283,Nicolas Jackson,CHE,F,3600.0
*03am7*,421,Jacob Murphy,NEW,M,5400.0
*076di*,284,Matty Jacob,HUL,D,2500.0
*0784z*,285,Jeremy Jacquet,LIV,D,3000.0
*05rff*,473,Jaden Philogene,IPS,"M,F",3300.0
*06ygm*,467,Jair Cunha,NOT,D,2600.0
*03yr0*,286,Daniel James,LEE,M,2600.0
*051k7*,287,Reece James,CHE,D,6700.0
*05tre*,288,Vitaly Janelt,BRF,M,5000.0
*076ki*,289,Ewen Jaouen,NEW,G,2500.0
*052ce*,290,Vitezslav Jaros,LIV,G,2500.0
*05s00*,291,Daniel Jebbison,BOU,F,2500.0
*06nva*,292,Mofe Jemide,CRY,D,2500.0
*05tr9*,293,Mathias Jensen,BRF,M,5600.0
*068yd*,220,Joao Gomes,AVL,M,7400.0
*05g2o*,298,Joao Pedro,CHE,F,10200.0
*072o9*,70,Jocelin Ta Bi,SUN,"M,F",2600.0
*0554i*,34,Joelinton,NEW,M,6600.0
*070gt*,355,John Victor,NOT,G,2600.0
*04mcg*,294,Ben Johnson,IPS,D,2500.0
*061ya*,295,Brennan Johnson,EVE,F,4500.0
*078gi*,296,Henry Johnson,NEW,D,2500.0
*04o82*,297,Curtis Jones,LIV,M,5000.0
*06dmj*,589,Jurrien Timber,ARS,D,8900.0
*0521z*,299,James Justin,LEE,D,6500.0
*06phe*,300,Ferdi Kadioglu,BHA,D,6800.0
*0703h*,301,Arnaud Kalimuendo,NOT,F,2500.0
*06mnc*,302,Daichi Kamada,CRY,M,4500.0
*061va*,303,Boubacar Kamara,AVL,M,6300.0
*06s7v*,304,Jaydan Kamason,MUN,D,2500.0
*07855*,305,Enzo Kana Biyik,MUN,F,2500.0
*06rgg*,306,Michael Kayode,BRF,D,7700.0
*0327r*,307,Michael Keane,EVE,D,6200.0
*045ob*,308,Caoimhin Kelleher,BRF,G,8500.0
*06dpv*,309,Omari Kellyman,CHE,M,2500.0
*04u40*,39,Kepa,ARS,G,2900.0
*06do9*,310,Milos Kerkez,LIV,D,7100.0
*070hj*,524,Kevin,FUL,F,4600.0
*078qg*,311,Anan Khalaili,CRY,"D,F",2500.0
*06r9w*,312,Abdukodir Khusanov,MCI,D,4200.0
*06dpw*,313,Kim Ji-Soo,BRF,D,2500.0
*06ygl*,314,George King,CRY,D,2500.0
*06jh3*,315,Joshua King,FUL,M,3000.0
*06cmt*,316,Tom King,EVE,G,2600.0
*06r6s*,317,Antonin Kinsky,TOT,G,3700.0
*05o6g*,318,Cedric Kipre,IPS,D,3500.0
*076cz*,319,Liam Kitching,COV,D,6400.0
*06clt*,320,Justin Kluivert,BOU,"M,F",4400.0
*052ca*,321,Ezri Konsa,AVL,D,6900.0
*06xzd*,322,Charalampos Kostoulas,BHA,F,2700.0
*06do4*,323,Louie Koumas,LIV,F,3000.0
*04u41*,324,Mateo Kovacic,MCI,M,3200.0
*06xza*,325,Eli Kroupi,BOU,F,3800.0
*06fv8*,326,Mohammed Kudus,TOT,M,8200.0
*05ylx*,327,Dejan Kulusevski,TOT,M,4800.0
*070hr*,328,Jonah Kusi-Asare,FUL,F,2500.0
*06mgn*,329,Rio Kyerematen,TOT,M,2500.0
*06v0c*,330,Shea Lacey,MUN,F,2600.0
*06pia*,331,Maxence Lacroix,CHE,D,8400.0
*070hl*,332,Senne Lammens,MUN,G,6800.0
*0788c*,333,Freddie Lane,LEE,M,2500.0
*04h87*,334,Joel Latibeaudiere,COV,D,3000.0
*05unu*,335,Romeo Lavia,CHE,M,2800.0
*06v0p*,336,Enzo Le Fee,SUN,M,7100.0
*06zbw*,337,Benjamin Lecomte,FUL,G,4300.0
*04qor*,338,Bernd Leno,FUL,G,7400.0
*06yb8*,344,Diego Leon,MUN,D,2500.0
*0701y*,339,Giovanni Leoni,LIV,D,2900.0
*04tzt*,340,Jefferson Lerma,CRY,M,5000.0
*062x7*,341,Rico Lewis,MCI,D,3200.0
*062p3*,342,Keane Lewis-Potter,BRF,"M,F",5900.0
*066sd*,343,Myles Lewis-Skelly,ARS,"D,M",3000.0
*075sh*,345,Jayden Lienou,LEE,D,2500.0
*04fk8*,346,Victor Lindelof,AVL,D,2900.0
*062pl*,369,Lisandro Martinez,MUN,D,4600.0
*05s08*,347,Valentino Livramento,NEW,D,8400.0
*04ug0*,349,Sean Longstaff,LEE,M,3800.0
*04ym7*,470,Lucas Perri,LEE,G,3000.0
*06xzp*,549,Luis Semedo,SUN,F,2500.0
*068yt*,351,Sasa Lukic,IPS,M,5100.0
*078fy*,352,Luka Lynch,AVL,F,2500.0
*052cb*,353,Ian Maatsen,AVL,D,5000.0
*0522h*,354,Alexis Mac Allister,LIV,M,7500.0
*0414o*,357,James Maddison,TOT,M,3100.0
*072mq*,358,Brian Madjo,AVL,F,3000.0
*068n8*,359,Noni Madueke,ARS,"M,F",4300.0
*0784x*,360,Daizen Maeda,IPS,F,4300.0
*03gu4*,361,Harry Maguire,MUN,D,5000.0
*06yxc*,362,Rory Mahady,LEE,G,2500.0
*0666p*,363,Kobbie Mainoo,MUN,M,4800.0
*06uzu*,527,Mamadou Sarr,CHE,D,2500.0
*06xzg*,364,Giorgi Mamardashvili,LIV,G,3300.0
*07848*,365,Johan Manzambi,AVL,M,4800.0
*076d9*,370,Ephron Mason-Clark,COV,"M,F",3700.0
*076dl*,371,Eliot Matazo,HUL,M,3000.0
*066j4*,190,Mateo Joseph,LEE,F,3100.0
*05r8o*,372,Jean-Philippe Mateta,CRY,F,6900.0
*06pe1*,184,Mateus Fernandes,TOT,M,8500.0
*067yz*,523,Matheus Cunha,MUN,F,10300.0
*06exa*,200,Matheus Franca,CRY,F,2500.0
*063zi*,440,Matheus Nunes,MCI,"D,M",9000.0
*05ubh*,373,Remi Matthews,CRY,G,2500.0
*076du*,374,Azor Matusiwa,IPS,M,3700.0
*078gf*,375,Theo Mawene,BRF,F,2500.0
*06p4j*,376,Noussair Mazraoui,MUN,D,4400.0
*05trb*,377,Bryan Mbeumo,MUN,F,9200.0
*05uhs*,385,James Mcatee,NOT,M,2800.0
*05y55*,378,Kasey McAteer,IPS,M,2600.0
*0477b*,379,Oliver McBurnie,HUL,F,5700.0
*06do3*,380,James McConnell,LIV,M,2500.0
*05rbn*,381,Thomas McGill,BHA,G,2500.0
*051k0*,382,John McGinn,AVL,M,6900.0
*04p0d*,384,Dwight McNeil,CRY,"M,F",4300.0
*06ews*,386,Dermot Mee,MUN,G,2500.0
*06mgk*,387,Jayden Meghoma,BRF,D,2500.0
*076dw*,388,Anis Mehmeti,IPS,M,3100.0
*078mm*,389,Nobel Mendy,HUL,D,4400.0
*04hk9*,390,Mikel Merino,ARS,M,5000.0
*05mzt*,391,Illan Meslier,ARS,G,2600.0
*0785j*,392,Thomas Meunier,SUN,D,3300.0
*078gg*,393,Jesse Middleton,BHA,M,2500.0
*06y4g*,394,Antoni Milambo,BRF,M,2500.0
*06mw0*,395,Nikola Milenkovic,NOT,D,7500.0
*06ab3*,396,Lewis Miley,NEW,M,4600.0
*0785c*,397,Mason Miley,NEW,M,2500.0
*052h1*,398,Liam Millar,HUL,"M,F",5800.0
*0788b*,399,Callum Mills,LEE,M,2500.0
*070h9*,400,Veljko Milosavljevic,BOU,D,2900.0
*03rec*,401,Tyrone Mings,AVL,D,3900.0
*0784o*,402,Oscar Mingueza,CRY,D,4300.0
*06c6g*,403,Yankuba Minteh,BHA,"M,F",7200.0
*05akv*,404,Tyrick Mitchell,CRY,D,9000.0
*062ci*,405,Kaoru Mitoma,BHA,M,5800.0
*05rb8*,97,Moises Caicedo,CHE,M,7700.0
*06rmv*,406,Jeremy Monga,MCI,"M,F",2600.0
*06lox*,407,Mikey Moore,TOT,F,2500.0
*033l8*,408,Simon Moore,SUN,G,2500.0
*06pig*,504,Morato,NOT,D,3200.0
*0784r*,410,Hidemasa Morita,HUL,M,2500.0
*06rkq*,412,Kieran Morrison,LIV,M,2500.0
*06zbm*,413,Cristhian Mosquera,ARS,D,3000.0
*052cd*,414,Mason Mount,MUN,M,3200.0
*068a1*,415,Mykhailo Mudryk,CHE,M,2600.0
*0784y*,416,Tarik Muharemovic,LEE,D,4600.0
*0703c*,417,Nordi Mukiele,SUN,D,9300.0
*05udw*,418,Romaine Mundle,SUN,"M,F",2600.0
*06jgi*,420,Daniel Munoz,CRY,D,9000.0
*076qg*,422,Victor Munoz,LIV,F,3400.0
*06fwz*,522,Murillo,NOT,D,7100.0
*05ybq*,423,Vitalii Mykolenko,EVE,D,7700.0
*078g0*,487,Natalia Ramos,LIV,D,2500.0
*06zna*,428,Dan Ndoye,NOT,F,3700.0
*07850*,429,Ifeanyi Ndukwe,LIV,D,2500.0
*06rnn*,430,Sean Neave,NEW,F,2500.0
*06kyv*,431,Kosta Nedeljkovic,AVL,D,2500.0
*04ge8*,432,Reiss Nelson,ARS,F,2800.0
*072zr*,433,Luca Netz,NOT,D,2800.0
*06r2g*,434,Rio Ngumoha,LIV,F,2800.0
*0784f*,435,Mahdi Nicoll-Jazuli,CHE,M,2500.0
*04ge9*,436,Eddie Nketiah,CRY,F,3000.0
*04lnu*,437,Lukas Nmecha,LEE,F,2900.0
*05tr8*,438,Christian Norgaard,EVE,M,3100.0
*076dv*,443,Marcelino Nunez,IPS,M,3400.0
*065ao*,441,Ethan Nwaneri,ARS,M,2800.0
*06hze*,442,Treymaurice Nyoni,LIV,M,2500.0
*062oh*,444,Jake O'Brien,EVE,D,7000.0
*05r9b*,449,Martin Odegaard,ARS,M,6900.0
*06fhy*,450,Wilson Odobert,TOT,F,3100.0
*06cm4*,451,Chiedozie Ogbene,IPS,F,2600.0
*070cj*,452,Noah Okafor,LEE,F,6100.0
*06rf9*,366,Omar Marmoush,MCI,F,3600.0
*0788a*,453,Darryl Ombang,LEE,G,2500.0
*0784s*,666,Abdulkadir Omur,HUL,M,3200.0
*063hu*,454,Amadou Onana,AVL,M,5000.0
*06v0m*,445,Luke O'Nien,SUN,"D,M",2500.0
*05ue7*,455,Frank Onyeka,COV,M,2800.0
*067x8*,446,Nico O'Reilly,MCI,"D,M",7000.0
*04qfq*,447,Matt O'Riley,BHA,M,2800.0
*04gpx*,448,Dara O'Shea,IPS,D,5100.0
*06mn1*,456,Ibrahim Osman,BHA,F,3600.0
*05t6x*,457,William Osula,NEW,F,3000.0
*078t8*,458,Abdoul Ouattara,IPS,D,2500.0
*068lx*,459,Dango Ouattara,BRF,"M,F",8200.0
*062ow*,460,David Ozoh,CRY,M,2900.0
*03jlw*,383,Paddy McNair,HUL,D,2900.0
*07897*,461,Cesar Palacios,FUL,M,5400.0
*0784b*,462,Marco Palestra,CHE,D,3700.0
*03p9y*,463,Alex Palmer,IPS,G,3400.0
*05l8q*,464,Cole Palmer,CHE,M,8400.0
*06zc0*,465,Park Seung-Soo,NEW,F,2500.0
